"filename", "language", "C++", "Skill", "Markdown", "JSON", "Diff", "CMake", "C", "Batch", "GLSL", "PowerShell", "YAML", "Makefile", "Python", "JavaScript", "Shell Script", "PostCSS", "Properties", "HTML", "XML", "Perl", "HLSL", "Objective-C++", "Rust", "comment", "blank", "total"
"c:\ws-code\ws-kwik\kwik-ui\.opencode\package-lock.json", "JSON", 0, 0, 0, 380, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 381
"c:\ws-code\ws-kwik\kwik-ui\.opencode\skills\kwik-ui\SKILL.md", "Skill", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 35
"c:\ws-code\ws-kwik\kwik-ui\CMakeLists.txt", "CMake", 0, 0, 0, 0, 0, 127, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 149
"c:\ws-code\ws-kwik\kwik-ui\README.md", "Markdown", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 23
"c:\ws-code\ws-kwik\kwik-ui\cmake\modules\App.cmake", "CMake", 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26
"c:\ws-code\ws-kwik\kwik-ui\cmake\modules\Bridge.cmake", "CMake", 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 27
"c:\ws-code\ws-kwik\kwik-ui\cmake\modules\Core.cmake", "CMake", 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 22
"c:\ws-code\ws-kwik\kwik-ui\cmake\modules\Element.cmake", "CMake", 0, 0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 51
"c:\ws-code\ws-kwik\kwik-ui\cmake\modules\Engine.cmake", "CMake", 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 44
"c:\ws-code\ws-kwik\kwik-ui\cmake\modules\Event.cmake", "CMake", 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21
