"filename", "language", "JavaScript", "C++", "XML", "CMake", "Markdown", "GLSL", "Lua", "C", "comment", "blank", "total"
"c:\ws-code\ws-kwik\kwik-ui\CMakeLists.txt", "CMake", 0, 0, 0, 7, 0, 0, 0, 0, 0, 2, 9
"c:\ws-code\ws-kwik\kwik-ui\README.md", "Markdown", 0, 0, 0, 0, 109, 0, 0, 0, 0, 0, 109
"c:\ws-code\ws-kwik\kwik-ui\cmake\modules\Bridge.cmake", "CMake", 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 2
"c:\ws-code\ws-kwik\kwik-ui\cmake\modules\Element.cmake", "CMake", 0, 0, 0, 19, 0, 0, 0, 0, 0, 1, 20
"c:\ws-code\ws-kwik\kwik-ui\cmake\modules\Render.cmake", "CMake", 0, 0, 0, 14, 0, 0, 0, 0, 0, 1, 15
"c:\ws-code\ws-kwik\kwik-ui\doc\1. 提示词.md", "Markdown", 0, 0, 0, 0, -56, 0, 0, 0, 0, -2, -58
"c:\ws-code\ws-kwik\kwik-ui\doc\1.kwik-ui 组件.md", "Markdown", 0, 0, 0, 0, 277, 0, 0, 0, 0, 24, 301
"c:\ws-code\ws-kwik\kwik-ui\doc\Text渲染流程.md", "Markdown", 0, 0, 0, 0, -156, 0, 0, 0, 0, 0, -156
"c:\ws-code\ws-kwik\kwik-ui\doc\事件处理流程.md", "Markdown", 0, 0, 0, 0, -193, 0, 0, 0, 0, 0, -193
"c:\ws-code\ws-kwik\kwik-ui\doc\渲染流程.md", "Markdown", 0, 0, 0, 0, -109, 0, 0, 0, 0, -5, -114
"c:\ws-code\ws-kwik\kwik-ui\examples\CMakeLists.txt", "CMake", 0, 0, 0, 2, 0, 0, 0, 0, 0, 3, 5
"c:\ws-code\ws-kwik\kwik-ui\examples\checkbox.js", "JavaScript", 38, 0, 0, 0, 0, 0, 0, 0, 2, 0, 40
"c:\ws-code\ws-kwik\kwik-ui\examples\dropdown.js", "JavaScript", 65, 0, 0, 0, 0, 0, 0, 0, 3, 4, 72
"c:\ws-code\ws-kwik\kwik-ui\examples\example.cpp", "C++", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 7
"c:\ws-code\ws-kwik\kwik-ui\examples\example.js", "JavaScript", 408, 0, 0, 0, 0, 0, 0, 0, 29, 0, 437
"c:\ws-code\ws-kwik\kwik-ui\examples\example1.js", "JavaScript", 248, 0, 0, 0, 0, 0, 0, 0, 20, 0, 268
"c:\ws-code\ws-kwik\kwik-ui\examples\image.js", "JavaScript", 133, 0, 0, 0, 0, 0, 0, 0, 7, 0, 140
"c:\ws-code\ws-kwik\kwik-ui\examples\image\Web Analytics.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\ws-code\ws-kwik\kwik-ui\examples\image\Web Application.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\ws-code\ws-kwik\kwik-ui\examples\image\home.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\ws-code\ws-kwik\kwik-ui\examples\image\查询统计.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\ws-code\ws-kwik\kwik-ui\examples\image\系统管理.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\ws-code\ws-kwik\kwik-ui\examples\image\菜单 (1).svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\ws-code\ws-kwik\kwik-ui\examples\image\菜单.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\ws-code\ws-kwik\kwik-ui\examples\input.js", "JavaScript", 84, 0, 0, 0, 0, 0, 0, 0, 19, 0, 103
"c:\ws-code\ws-kwik\kwik-ui\examples\radiobutton.js", "JavaScript", 32, 0, 0, 0, 0, 0, 0, 0, 2, 3, 37
"c:\ws-code\ws-kwik\kwik-ui\examples\stack.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18
"c:\ws-code\ws-kwik\kwik-ui\examples\text.js", "JavaScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"c:\ws-code\ws-kwik\kwik-ui\examples\textarea.js", "JavaScript", 104, 0, 0, 0, 0, 0, 0, 0, 6, 2, 112
"c:\ws-code\ws-kwik\kwik-ui\examples\view.js", "JavaScript", 8, 0, 0, 0, 0, 0, 0, 0, 1, 3, 12
"c:\ws-code\ws-kwik\kwik-ui\examples\vk_resize_test.cpp", "C++", 0, 146, 0, 0, 0, 0, 0, 0, 12, 20, 178
"c:\ws-code\ws-kwik\kwik-ui\examples\win32_window_example.cpp", "C++", 0, 18, 0, 0, 0, 0, 0, 0, -2, 1, 17
"c:\ws-code\ws-kwik\kwik-ui\include\svg_decoder.h", "C++", 0, 12, 0, 0, 0, 0, 0, 0, 14, 1, 27
"c:\ws-code\ws-kwik\kwik-ui\modules\app\application.cppm", "C++", 0, 3, 0, 0, 0, 0, 0, 0, 9, 2, 14
"c:\ws-code\ws-kwik\kwik-ui\modules\bridge\prop_bus.cppm", "C++", 0, 4, 0, 0, 0, 0, 0, 0, 6, 1, 11
"c:\ws-code\ws-kwik\kwik-ui\modules\bridge\props_parser.cppm", "C++", 0, 6, 0, 0, 0, 0, 0, 0, 0, 6, 12
"c:\ws-code\ws-kwik\kwik-ui\modules\core\types.cppm", "C++", 0, 19, 0, 0, 0, 0, 0, 0, 9, 3, 31
"c:\ws-code\ws-kwik\kwik-ui\modules\element\button.cppm", "C++", 0, -5, 0, 0, 0, 0, 0, 0, 0, 2, -3
"c:\ws-code\ws-kwik\kwik-ui\modules\element\checkbox.cppm", "C++", 0, 41, 0, 0, 0, 0, 0, 0, 15, 4, 60
"c:\ws-code\ws-kwik\kwik-ui\modules\element\dropdown.cppm", "C++", 0, 51, 0, 0, 0, 0, 0, 0, 16, 7, 74
"c:\ws-code\ws-kwik\kwik-ui\modules\element\image.cppm", "C++", 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\ws-code\ws-kwik\kwik-ui\modules\element\input.cppm", "C++", 0, 73, 0, 0, 0, 0, 0, 0, 28, 4, 105
"c:\ws-code\ws-kwik\kwik-ui\modules\element\props.cppm", "C++", 0, 67, 0, 0, 0, 0, 0, 0, 16, 6, 89
"c:\ws-code\ws-kwik\kwik-ui\modules\element\radiobutton.cppm", "C++", 0, 40, 0, 0, 0, 0, 0, 0, 5, 6, 51
"c:\ws-code\ws-kwik\kwik-ui\modules\element\text.cppm", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2
"c:\ws-code\ws-kwik\kwik-ui\modules\element\textarea.cppm", "C++", 0, 59, 0, 0, 0, 0, 0, 0, 17, 5, 81
"c:\ws-code\ws-kwik\kwik-ui\modules\element\view.cppm", "C++", 0, 110, 0, 0, 0, 0, 0, 0, 91, 19, 220
"c:\ws-code\ws-kwik\kwik-ui\modules\engine\quickjs_context.cppm", "C++", 0, 22, 0, 0, 0, 0, 0, 0, 22, 3, 47
"c:\ws-code\ws-kwik\kwik-ui\modules\event\event.cppm", "C++", 0, 3, 0, 0, 0, 0, 0, 0, 1, 2, 6
"c:\ws-code\ws-kwik\kwik-ui\modules\layout\flex_layout.cppm", "C++", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\ws-code\ws-kwik\kwik-ui\modules\layout\grid_layout.cppm", "C++", 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\ws-code\ws-kwik\kwik-ui\modules\layout\list_layout.cppm", "C++", 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\ws-code\ws-kwik\kwik-ui\modules\layout\radio_group.cppm", "C++", 0, 26, 0, 0, 0, 0, 0, 0, 11, 4, 41
"c:\ws-code\ws-kwik\kwik-ui\modules\layout\stack_layout.cppm", "C++", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 3
"c:\ws-code\ws-kwik\kwik-ui\modules\platform\window.cppm", "C++", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2
"c:\ws-code\ws-kwik\kwik-ui\modules\render\backend.cppm", "C++", 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, -1
"c:\ws-code\ws-kwik\kwik-ui\modules\render\command.cppm", "C++", 0, 6, 0, 0, 0, 0, 0, 0, 10, -12, 4
"c:\ws-code\ws-kwik\kwik-ui\modules\render\font.cppm", "C++", 0, 19, 0, 0, 0, 0, 0, 0, 18, 5, 42
"c:\ws-code\ws-kwik\kwik-ui\modules\render\graphics.cppm", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1
"c:\ws-code\ws-kwik\kwik-ui\modules\render\render_thread.cppm", "C++", 0, -9, 0, 0, 0, 0, 0, 0, -19, -4, -32
"c:\ws-code\ws-kwik\kwik-ui\modules\render\software_backend.cppm", "C++", 0, -3, 0, 0, 0, 0, 0, 0, 3, 0, 0
"c:\ws-code\ws-kwik\kwik-ui\modules\render\vulkan\vulkan_backend.cppm", "C++", 0, 59, 0, 0, 0, 0, 0, 0, 10, 3, 72
"c:\ws-code\ws-kwik\kwik-ui\modules\render\vulkan\vulkan_clip_manager.cppm", "C++", 0, 27, 0, 0, 0, 0, 0, 0, 0, 2, 29
"c:\ws-code\ws-kwik\kwik-ui\modules\render\vulkan\vulkan_context.cppm", "C++", 0, 110, 0, 0, 0, 0, 0, 0, 7, 12, 129
"c:\ws-code\ws-kwik\kwik-ui\modules\render\vulkan\vulkan_glyph_renderer.cppm", "C++", 0, 32, 0, 0, 0, 0, 0, 0, 0, 3, 35
"c:\ws-code\ws-kwik\kwik-ui\modules\render\vulkan\vulkan_image_renderer.cppm", "C++", 0, 39, 0, 0, 0, 0, 0, 0, 0, 3, 42
"c:\ws-code\ws-kwik\kwik-ui\modules\render\vulkan\vulkan_rect_renderer.cppm", "C++", 0, 33, 0, 0, 0, 0, 0, 0, 0, 4, 37
"c:\ws-code\ws-kwik\kwik-ui\modules\render\vulkan_backend.cppm", "C++", 0, -133, 0, 0, 0, 0, 0, 0, 138, 0, 5
"c:\ws-code\ws-kwik\kwik-ui\shaders\glyph.frag", "GLSL", 0, 0, 0, 0, 0, 1, 0, 0, 7, 0, 8
"c:\ws-code\ws-kwik\kwik-ui\shaders\image.frag", "GLSL", 0, 0, 0, 0, 0, 17, 0, 0, 5, 5, 27
"c:\ws-code\ws-kwik\kwik-ui\shaders\image.vert", "GLSL", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 5
"c:\ws-code\ws-kwik\kwik-ui\src\app\application.cpp", "C++", 0, 69, 0, 0, 0, 0, 0, 0, 19, 26, 114
"c:\ws-code\ws-kwik\kwik-ui\src\bridge\element_parser.cpp", "C++", 0, 31, 0, 0, 0, 0, 0, 0, 4, 7, 42
"c:\ws-code\ws-kwik\kwik-ui\src\bridge\prop_bus.cpp", "C++", 0, 58, 0, 0, 0, 0, 0, 0, 3, 1, 62
"c:\ws-code\ws-kwik\kwik-ui\src\bridge\props_parser.cpp", "C++", 0, 115, 0, 0, 0, 0, 0, 0, 21, 7, 143
"c:\ws-code\ws-kwik\kwik-ui\src\element\button.cpp", "C++", 0, 4, 0, 0, 0, 0, 0, 0, -3, 1, 2
"c:\ws-code\ws-kwik\kwik-ui\src\element\checkbox.cpp", "C++", 0, 107, 0, 0, 0, 0, 0, 0, 28, 0, 135
"c:\ws-code\ws-kwik\kwik-ui\src\element\dropdown.cpp", "C++", 0, 226, 0, 0, 0, 0, 0, 0, 40, 26, 292
"c:\ws-code\ws-kwik\kwik-ui\src\element\image.cpp", "C++", 0, 39, 0, 0, 0, 0, 0, 0, 18, 0, 57
"c:\ws-code\ws-kwik\kwik-ui\src\element\input.cpp", "C++", 0, 328, 0, 0, 0, 0, 0, 0, 35, 6, 369
"c:\ws-code\ws-kwik\kwik-ui\src\element\radiobutton.cpp", "C++", 0, 99, 0, 0, 0, 0, 0, 0, 24, 1, 124
"c:\ws-code\ws-kwik\kwik-ui\src\element\svg_decoder.cpp", "C++", 0, 51, 0, 0, 0, 0, 0, 0, 20, 1, 72
