"filename", "language", "JavaScript", "C++", "C", "XML", "CMake", "Markdown", "Batch", "JSON", "Diff", "YAML", "GLSL", "PowerShell", "Shell Script", "Properties", "Makefile", "HTML", "Python", "HLSL", "Objective-C++", "Skill", "PostCSS", "Lua", "Perl", "Rust", "comment", "blank", "total"
"c:\ws-code\ws-kwik\kwik-ui\.opencode\package-lock.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 380, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 381
"c:\ws-code\ws-kwik\kwik-ui\.opencode\skills\kwik-ui\SKILL.md", "Skill", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 8, 35
"c:\ws-code\ws-kwik\kwik-ui\CMakeLists.txt", "CMake", 0, 0, 0, 0, 134, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 158
"c:\ws-code\ws-kwik\kwik-ui\README.md", "Markdown", 0, 0, 0, 0, 0, 126, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 132
"c:\ws-code\ws-kwik\kwik-ui\cmake\modules\App.cmake", "CMake", 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26
"c:\ws-code\ws-kwik\kwik-ui\cmake\modules\Bridge.cmake", "CMake", 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 29
"c:\ws-code\ws-kwik\kwik-ui\cmake\modules\Core.cmake", "CMake", 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 22
"c:\ws-code\ws-kwik\kwik-ui\cmake\modules\Element.cmake", "CMake", 0, 0, 0, 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 71
"c:\ws-code\ws-kwik\kwik-ui\cmake\modules\Engine.cmake", "CMake", 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 44
"c:\ws-code\ws-kwik\kwik-ui\cmake\modules\Event.cmake", "CMake", 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21
