Date : 2026-06-17 22:04:20
Directory : c:\ws-code\ws-kwik\kwik-ui
Total : 1855 files,  555037 codes, 127968 comments, 105109 blanks, all 788114 lines

Languages
+---------------+------------+------------+------------+------------+------------+
| language      | files      | code       | comment    | blank      | total      |
+---------------+------------+------------+------------+------------+------------+
| C++           |      1,008 |    277,279 |     86,781 |     49,254 |    413,314 |
| C             |        379 |    214,792 |     34,847 |     47,936 |    297,575 |
| JSON          |          6 |     15,092 |          0 |          6 |     15,098 |
| Python        |         57 |     11,910 |      1,497 |      1,592 |     14,999 |
| JavaScript    |         95 |      8,810 |        570 |        958 |     10,338 |
| XML           |         44 |      7,560 |        105 |        228 |      7,893 |
| CMake         |         21 |      4,638 |          0 |        620 |      5,258 |
| Markdown      |         53 |      3,941 |          1 |      1,404 |      5,346 |
| Makefile      |        106 |      2,166 |      3,020 |      1,788 |      6,974 |
| YAML          |         28 |      2,025 |         98 |        213 |      2,336 |
| Rust          |          6 |      1,712 |        161 |        199 |      2,072 |
| HTML          |          7 |      1,070 |          0 |         79 |      1,149 |
| Shell Script  |         13 |        861 |         89 |        181 |      1,131 |
| GLSL          |         12 |        756 |        254 |        131 |      1,141 |
| HLSL          |          5 |        557 |        163 |        113 |        833 |
| Properties    |          4 |        524 |        210 |         95 |        829 |
| Diff          |          2 |        402 |         41 |         60 |        503 |
| Perl          |          1 |        340 |         68 |        144 |        552 |
| Objective-C++ |          1 |        329 |         31 |         74 |        434 |
| PostCSS       |          2 |        172 |         27 |         10 |        209 |
| Lua           |          1 |         42 |          0 |         15 |         57 |
| PowerShell    |          1 |         27 |          3 |          0 |         30 |
| Skill         |          1 |         27 |          0 |          8 |         35 |
| Batch         |          2 |          5 |          2 |          1 |          8 |
+---------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                   | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                      |      1,855 |    555,037 |    127,968 |    105,109 |    788,114 |
| . (Files)                                                                                                              |          4 |        267 |          0 |         32 |        299 |
| .opencode                                                                                                              |          2 |        407 |          0 |          9 |        416 |
| .opencode (Files)                                                                                                      |          1 |        380 |          0 |          1 |        381 |
| .opencode\skills                                                                                                       |          1 |         27 |          0 |          8 |         35 |
| .opencode\skills\kwik-ui                                                                                               |          1 |         27 |          0 |          8 |         35 |
| cmake                                                                                                                  |          9 |        467 |          0 |         69 |        536 |
| cmake\modules                                                                                                          |          9 |        467 |          0 |         69 |        536 |
| doc                                                                                                                    |          1 |        277 |          0 |         24 |        301 |
| examples                                                                                                               |         31 |      1,981 |        186 |        136 |      2,303 |
| examples (Files)                                                                                                       |         24 |      1,974 |        186 |        136 |      2,296 |
| examples\image                                                                                                         |          7 |          7 |          0 |          0 |          7 |
| include                                                                                                                |          1 |         12 |         14 |          1 |         27 |
| modules                                                                                                                |         52 |      2,869 |      1,906 |        526 |      5,301 |
| modules\app                                                                                                            |          1 |         71 |         91 |          7 |        169 |
| modules\bridge                                                                                                         |          4 |         56 |        152 |         21 |        229 |
| modules\core                                                                                                           |          3 |        268 |         97 |         68 |        433 |
| modules\element                                                                                                        |         10 |        804 |        434 |         94 |      1,332 |
| modules\engine                                                                                                         |          4 |        154 |        124 |         50 |        328 |
| modules\event                                                                                                          |          1 |         57 |        114 |          5 |        176 |
| modules\layout                                                                                                         |          5 |        152 |         17 |         12 |        181 |
| modules\platform                                                                                                       |          8 |        467 |        166 |         83 |        716 |
| modules\render                                                                                                         |         14 |        829 |        706 |        179 |      1,714 |
| modules\render (Files)                                                                                                 |          8 |        529 |        689 |        152 |      1,370 |
| modules\render\vulkan                                                                                                  |          6 |        300 |         17 |         27 |        344 |
| modules\utils                                                                                                          |          2 |         11 |          5 |          7 |         23 |
