"filename", "language", "CMake", "C++", "JavaScript", "Markdown", "comment", "blank", "total"
"c:\ws-code\ws-kwik\kwik-ui\CMakeLists.txt", "CMake", 12, 0, 0, 0, 0, 2, 14
"c:\ws-code\ws-kwik\kwik-ui\README.md", "Markdown", 0, 0, 0, 45, 0, 15, 60
"c:\ws-code\ws-kwik\kwik-ui\cmake\modules\Bridge.cmake", "CMake", 2, 0, 0, 0, 0, 0, 2
"c:\ws-code\ws-kwik\kwik-ui\cmake\modules\Core.cmake", "CMake", 5, 0, 0, 0, 0, 0, 5
"c:\ws-code\ws-kwik\kwik-ui\cmake\modules\Element.cmake", "CMake", 1, 0, 0, 0, 0, 1, 2
"c:\ws-code\ws-kwik\kwik-ui\cmake\modules\Engine.cmake", "CMake", 4, 0, 0, 0, 0, 0, 4
"c:\ws-code\ws-kwik\kwik-ui\doc\1.kwik-ui 组件.md", "Markdown", 0, 0, 0, -4, 0, 3, -1
"c:\ws-code\ws-kwik\kwik-ui\doc\2. State和channel.md", "Markdown", 0, 0, 0, 202, 0, 36, 238
"c:\ws-code\ws-kwik\kwik-ui\doc\CHANGELOG.md", "Markdown", 0, 0, 0, 84, 0, 14, 98
"c:\ws-code\ws-kwik\kwik-ui\examples\CMakeLists.txt", "CMake", 0, 0, 0, 0, 0, -3, -3
"c:\ws-code\ws-kwik\kwik-ui\examples\channel.js", "JavaScript", 0, 0, 169, 0, 6, 10, 185
"c:\ws-code\ws-kwik\kwik-ui\examples\checkbox.js", "JavaScript", 0, 0, 45, 0, 3, 11, 59
"c:\ws-code\ws-kwik\kwik-ui\examples\dropdown.js", "JavaScript", 0, 0, 42, 0, 12, 4, 58
"c:\ws-code\ws-kwik\kwik-ui\examples\example.cpp", "C++", 0, 52, 0, 0, -8, 7, 51
"c:\ws-code\ws-kwik\kwik-ui\examples\input.js", "JavaScript", 0, 0, 20, 0, -7, 7, 20
"c:\ws-code\ws-kwik\kwik-ui\examples\radiobutton.js", "JavaScript", 0, 0, 34, 0, 12, 8, 54
"c:\ws-code\ws-kwik\kwik-ui\examples\test.js", "JavaScript", 0, 0, 81, 0, 18, 7, 106
"c:\ws-code\ws-kwik\kwik-ui\examples\textarea.js", "JavaScript", 0, 0, 8, 0, 1, 5, 14
"c:\ws-code\ws-kwik\kwik-ui\modules\app\application.cppm", "C++", 0, 7, 0, 0, 0, 5, 12
"c:\ws-code\ws-kwik\kwik-ui\modules\bridge\binding_registry.cppm", "C++", 0, 35, 0, 0, 73, 16, 124
"c:\ws-code\ws-kwik\kwik-ui\modules\bridge\props_parser.cppm", "C++", 0, 101, 0, 0, 95, 17, 213
"c:\ws-code\ws-kwik\kwik-ui\modules\core\coroutine.cppm", "C++", 0, 89, 0, 0, 17, 18, 124
"c:\ws-code\ws-kwik\kwik-ui\modules\core\scheduler.cppm", "C++", 0, 23, 0, 0, 35, 10, 68
"c:\ws-code\ws-kwik\kwik-ui\modules\core\task_queue.cppm", "C++", 0, 36, 0, 0, 33, 12, 81
"c:\ws-code\ws-kwik\kwik-ui\modules\core\thread_pool.cppm", "C++", 0, 67, 0, 0, 24, 14, 105
"c:\ws-code\ws-kwik\kwik-ui\modules\element\checkbox.cppm", "C++", 0, 1, 0, 0, 22, 9, 32
"c:\ws-code\ws-kwik\kwik-ui\modules\element\dropdown.cppm", "C++", 0, 9, 0, 0, 0, 4, 13
"c:\ws-code\ws-kwik\kwik-ui\modules\element\input.cppm", "C++", 0, 10, 0, 0, 0, 4, 14
"c:\ws-code\ws-kwik\kwik-ui\modules\element\radiobutton.cppm", "C++", 0, 2, 0, 0, 1, 2, 5
"c:\ws-code\ws-kwik\kwik-ui\modules\element\textarea.cppm", "C++", 0, 9, 0, 0, 0, 3, 12
"c:\ws-code\ws-kwik\kwik-ui\modules\element\typed_prop.cppm", "C++", 0, 47, 0, 0, 73, 11, 131
"c:\ws-code\ws-kwik\kwik-ui\modules\element\view.cppm", "C++", 0, 3, 0, 0, 14, 3, 20
"c:\ws-code\ws-kwik\kwik-ui\modules\engine\bindings.cppm", "C++", 0, 0, 0, 0, 23, 2, 25
"c:\ws-code\ws-kwik\kwik-ui\modules\engine\channel.cppm", "C++", 0, 168, 0, 0, 72, 51, 291
"c:\ws-code\ws-kwik\kwik-ui\modules\engine\quickjs_context.cppm", "C++", 0, -13, 0, 0, 8, 1, -4
"c:\ws-code\ws-kwik\kwik-ui\modules\engine\state_binding.cppm", "C++", 0, 11, 0, 0, 36, 8, 55
"c:\ws-code\ws-kwik\kwik-ui\modules\layout\radio_group.cppm", "C++", 0, 5, 0, 0, 27, 7, 39
"c:\ws-code\ws-kwik\kwik-ui\src\app\application.cpp", "C++", 0, 13, 0, 0, 9, 7, 29
"c:\ws-code\ws-kwik\kwik-ui\src\bridge\binding_registry.cpp", "C++", 0, 78, 0, 0, 29, 25, 132
"c:\ws-code\ws-kwik\kwik-ui\src\bridge\element_parser.cpp", "C++", 0, 70, 0, 0, 23, 13, 106
"c:\ws-code\ws-kwik\kwik-ui\src\bridge\props_parser.cpp", "C++", 0, -81, 0, 0, -2, 6, -77
"c:\ws-code\ws-kwik\kwik-ui\src\core\scheduler.cpp", "C++", 0, 15, 0, 0, 4, 6, 25
"c:\ws-code\ws-kwik\kwik-ui\src\element\checkbox.cpp", "C++", 0, 33, 0, 0, 11, 20, 64
"c:\ws-code\ws-kwik\kwik-ui\src\element\dropdown.cpp", "C++", 0, 31, 0, 0, 0, 3, 34
"c:\ws-code\ws-kwik\kwik-ui\src\element\input.cpp", "C++", 0, 21, 0, 0, 1, 2, 24
"c:\ws-code\ws-kwik\kwik-ui\src\element\radiobutton.cpp", "C++", 0, 16, 0, 0, 6, 2, 24
"c:\ws-code\ws-kwik\kwik-ui\src\element\textarea.cpp", "C++", 0, 29, 0, 0, 0, 1, 30
"c:\ws-code\ws-kwik\kwik-ui\src\element\view.cpp", "C++", 0, 20, 0, 0, 0, 1, 21
"c:\ws-code\ws-kwik\kwik-ui\src\engine\bindings.cpp", "C++", 0, 13, 0, 0, 143, 28, 184
"c:\ws-code\ws-kwik\kwik-ui\src\engine\channel.cpp", "C++", 0, 294, 0, 0, 50, 60, 404
"c:\ws-code\ws-kwik\kwik-ui\src\engine\state_binding.cpp", "C++", 0, 32, 0, 0, 48, 10, 90
"c:\ws-code\ws-kwik\kwik-ui\src\layout\radio_group.cpp", "C++", 0, 65, 0, 0, -6, 13, 72
"Total", "-", 24, 1311, 399, 327, 906, 521, 3488
